phrase
education and schools
football
basketball
colleges and universities
politics and government
medicine and health
elections
college athletics
baseball
united states politics and government
soccer
coaches and managers
finances
radio
crime and criminals
motion pictures
mental health and disorders
sex crimes
labor
computers and the internet
blacks
news and news media
"armament, defense and military forces"
"hockey, ice"
presidents and presidency (us)
presidential elections (us)
police
law and legislation
books and literature
environment
diseases and conditions
art
weather
food
international relations
air pollution
homosexuality
united states armament and defense
terrorism
religion and churches
budgets and budgeting
media
united states international relations
weddings and engagements
hurricanes and tropical storms
drug abuse and traffic
global warming
"awards, decorations and honors"
golf
firearms
children and youth
athletics and sports
computer and video games
research
animals
theater
holidays and special occasions
restaurants
roads and traffic
festivals
photography
olympic games
track and field
alcoholic beverages
speech
presidential election of 2008
wages and salaries
world trade center (nyc)
freedom of speech and expression
gun control
housing
tuition
swimming
apparel
airlines and airplanes
ncaa basketball tournament
tennis
accidents and safety
murders and attempted murders
women
telephones and telecommunications
cancer
atomic weapons
taxation
homeless persons
suits and litigation
recordings (audio)
cellular telephones
privacy
appointments and executive changes
office buildings and commercial properties
dancing
abortion
hijacking
energy and power
diet and nutrition
marriages
"indians, american"
ethics
strikes
health insurance and managed care
oil (petroleum) and gasoline
new year
super bowl
marijuana
immigration and refugees
language and languages
acquired immune deficiency syndrome
viruses
jews
parking
smoking and tobacco
capital punishment
insurance
retail stores and trade
culture
palestinians
tests and testing
rock music
city councils
mayors
travel and vacations
deaths (obituaries)
academy awards (oscars)
war and revolution
freedom and human rights
automobiles
breast
sexual harassment
handicapped
affirmative action
exercise
christians and christianity
electric light and power
prisons and prisoners
chemistry
debating
suicides and suicide attempts
wines
water pollution
cooking and cookbooks
"prices (fares, fees and rates)"
hurricane katrina
brain
local government
demonstrations and riots
unemployment
light
biological and chemical warfare
public opinion
scholarships and fellowships
stocks and bonds
transit systems
christmas
credit and money cards
legal profession
bars
discrimination
small business
domestic violence
bombs and explosives
weight
world cup (soccer)
beer
horse racing
dogs
records and achievements
copyrights
bicycles and bicycling
economic conditions and trends
playoff games
constitutions
veterans
gas (fuel)
minorities (us)
birth control and family planning
snow and snowstorms
credit
libraries and librarians
stadiums and arenas
death and dying
medicaid
world series
missing persons
vice presidents and vice presidency (us)
third world and developing countries
science and technology
"war crimes, genocide and crimes against humanity"
skiing
atomic energy
parades
transplants
illegal aliens
building (construction)
toys
aged
pornography and obscenity
fish and other marine life
teachers and school employees
recipes
social security (us)
genetics and heredity
parks and other recreation areas
leisure
islam
english language
buses
united states economy
airports
railroads
philanthropy
vietnam war
drunken and reckless driving
gardens and gardening
food contamination and poisoning
courts
judges
church-state relations
mines and mining
computer software
hotels and motels
bakeries and baked products
income tax
dna (deoxyribonucleic acid)
volunteers
executives and management
impeachment
security and warning systems
frauds and swindling
sentences (criminal)
election issues
gambling
subways
auctions
restoration and rehabilitation
constitutional amendments
serial murders
earthquakes
waste materials and disposal
meat
child abuse and neglect
poetry and poets
vaccination and immunization
contests and prizes
anatomy and physiology
steroids
drugs (pharmaceuticals)
forests and forestry
design
threats and threatening messages
physics
hazardous and toxic substances
advertising and marketing
welfare (us)
fast food industry
automobile racing
presidential election of 2000
flowers and plants
political prisoners
drought
assaults
robberies and thefts
government employees
postal service
military aircraft
fires and firefighters
spanish language
blood
zoning
home repairs and improvements
federal taxes (us)
historic buildings and sites
foreign aid
reproduction (biological)
steel and iron
international trade and world market
chemicals
alcohol abuse
legislatures and parliaments
presidential election of 2004
draft and recruitment (sports)
real estate
arms control and limitation and disarmament
recycling of waste materials
company reports
corporations
identification devices
sales
monuments and memorials
"mergers, acquisitions and divestitures"
banks and banking
jazz
military bases and installations
grain
marathon running
decisions and verdicts
election results
organized crime
civil war and guerrilla warfare
pentagon building
endangered and extinct species
accounting and accountants
cable television
ratings and rating systems
inventions and patents
prisoners of war
"new models, design and products"
presidential election of 1996
regulation and deregulation of industry
documentary films and programs
boxing
rescues
babies
police brutality and misconduct
referendums
primaries
tax evasion
interscholastic athletics
satellites
espionage
assassinations and attempted assassinations
trade shows and fairs
population
space shuttle
genetic engineering
dairy products
hostages
retirement
world war ii (1939-45)
hospitals
nursing and nurses
conventions and conferences
attacks on police
nazi policies toward jews and minorities
parties (social)
