Information_Score,Phrase,Newspaper
0.00030932139351070226,basketball,SUNY Stony Brook
-9.830968622103343e-05,basketball,University of Chicago
-0.00017485646719467022,basketball,University of Illinois Urbana Champaign
1.2430326067889213e-05,basketball,Biola University
-1.8255339616945478e-05,basketball,University of California Irvine
2.4860652135778425e-05,basketball,Hofstra University
5.4115093890135974e-05,basketball,Florida Gulf Coast University
-2.2915690549190346e-05,basketball,"University of Wisconsin, Madison"
-3.3319990484048333e-05,basketball,Northern Illinois University
-4.29610636332481e-05,basketball,University of Texas San Antonio
0.0002477183563844699,basketball,Marquette University
4.5190842154742846e-05,basketball,University of Miami
-5.7706880751935176e-05,basketball,University of Texas Arlington
-5.596306933784314e-05,basketball,University of California Davis
-0.0001237313730417254,basketball,Purdue University
-6.117724056543086e-05,basketball,University of Rochester
-3.298632456446823e-05,basketball,St. Louis University
-1.857904713395306e-05,basketball,Boston College
0.00034216821283042896,basketball,DePaul University
0.003065967749554743,basketball,San Diego State University
0.00043601499311891136,basketball,Oklahoma State University
-1.6644725905965162e-06,basketball,CSU Fresno
-0.000128287239131474,basketball,University of California Santa Barbara
0.0003049650723032763,basketball,St. Edward's University
-3.921430043433928e-05,basketball,Louisiana College
0.00015037654472411333,basketball,Washington State University
0.0001685752434891565,basketball,Missouri State University
0.0002246996422222354,basketball,Virginia Commonwealth University
0.00196701412551791,basketball,University of Southern Indiana
-2.8931728199743877e-05,basketball,West Virginia University
-0.00018214006766779402,basketball,University of Washington
0.0008877462425585136,basketball,University of Kansas
1.2960690084790118e-05,basketball,University of Oklahoma
-0.0002021689064144199,basketball,University of Minnesota Twin Cities
4.093639403434548e-05,basketball,University of Colorado Boulder
-5.6964393774482096e-05,basketball,Stanford University
-0.0001942604277761293,basketball,"University of Tennessee, Knoxville"
2.2193273523530833e-05,basketball,James Madison University
0.0003420911424063038,basketball,CSU Sacramento
-7.096177457086247e-05,basketball,Florida International University
-1.3745007163041927e-05,basketball,University of Massachusetts Amherst
1.8345798875456403e-05,basketball,CSU Chico
0.003636284385688257,basketball,University of Pittsburgh
-0.00020967094720246638,basketball,University of Michigan
-3.404128657904246e-05,basketball,Ithaca College
-2.685084473834063e-05,basketball,University of Connecticut
0.0008518399196086123,basketball,University of Iowa
-7.772504196783573e-06,basketball,DePauw University
5.36206431725717e-05,basketball,Rowan University
-9.859188919479819e-05,basketball,CSU Fullerton
0.00022412601632158463,basketball,Muhlenberg College
0.0003124891595047256,basketball,Florida Atlantic University
-4.537591008013801e-05,basketball,Texas A & M University
-4.1469794304962426e-05,basketball,Quinnipiac University
-1.8176917614534128e-05,basketball,Simpson College
3.5764436183685516e-05,basketball,University of North Carolina Charlotte
-4.6817067155426906e-05,basketball,Northeastern University
-2.2139976375318567e-05,basketball,Marshall University
2.5159411358402593e-05,basketball,University of Oregon
6.094587445409974e-05,basketball,Villanova University
0.00017289427782362792,basketball,Emerson College
8.092400319960947e-05,basketball,University of Alabama
7.217401899131251e-05,basketball,Grand Valley State University
1.6070456650866172e-05,basketball,University of North Texas
-4.2084683705158704e-05,basketball,Mississippi State University
-2.5504549540723028e-05,basketball,University of Montana
0.00018287966197638825,basketball,Grinnell College
0.00011727654289843853,basketball,Amherst College
-3.7380771906472814e-05,basketball,"University of Nebraska, Omaha"
7.094473851790183e-05,basketball,University of Cincinnati
-1.5154222915725227e-05,basketball,Southern Methodist University
0.0002196872452903835,basketball,Morgan State University
-5.3945891981943085e-06,basketball,University of Akron
0.00018963128778475683,basketball,Keene State College
-2.2117883480259672e-05,basketball,Emporia State University
-3.2660899175031215e-05,basketball,University of Mary Washington
9.705842694293145e-05,basketball,North Carolina State University
6.648561572777854e-05,basketball,El Camino College
-7.577961852701965e-05,basketball,Virginia Polytechnic Institute
-5.194330309839135e-05,basketball,Portland State University
-3.218560443087022e-05,basketball,Georgia State University
0.0002774531292332424,basketball,Bradley University
-5.002146200594219e-05,basketball,Swarthmore College
0.0001663715003567057,basketball,Central Connecticut State University
-5.999407722440403e-05,basketball,Santa Rosa Junior College
-1.7552999464454806e-05,basketball,Bucknell University
0.0005997052380971257,basketball,"University of Wisconsin, Oshkosh"
-9.035886753953128e-05,basketball,Indiana University of Pennsylvania
0.00021130725987644132,basketball,Clemson University
-2.161193664658338e-05,basketball,Rider University
4.642799990839461e-05,basketball,Georgia College
-1.904103284779725e-05,basketball,Southeastern Louisiana University
-5.3945891981943085e-06,basketball,Wright State University
0.0004659018085351596,basketball,Drexel University
-1.171786898359945e-05,basketball,Vanderbilt University
-1.7552999464454806e-05,basketball,University of North Carolina Asheville
0.00013928399972518382,basketball,Central Washington University
-3.092603145281252e-06,basketball,California Lutheran University
-1.9562936166177768e-05,basketball,University of Maine
3.607672926009065e-05,basketball,Willamette University
2.9936840864132788e-05,basketball,Mt. San Antonio College
0.0007017610758166159,basketball,"Pittsburg State University, Kansas"
-1.8473340942786456e-06,basketball,CSU San Marcos
-1.0586799586746774e-05,basketball,CSU East Bay
2.3616805622593443e-06,basketball,Howard University
-1.7093211339225156e-05,basketball,Lewis and Clark College
0.0004237705975034473,basketball,Southern Utah University
7.21534585201813e-05,basketball,Xavier University
